大类	小类	触发问法(用|分隔)	标准回复
旧换/换款	总说明	旧换|以旧换新|旧料怎么换|旧金怎么换|怎么旧换|旧换流程	亲～旧换需要先过火检测确认纯度和重量。999足金：≥10g按1:1；<10g按实重×0.9975折算入系统。检测合格后统一提纯，无法退回原金哦～过火检测默认会扣0.01–0.02g（极少数会到0.03g）
旧换/换款	999足金要求	必须999吗|不是999能换吗|999足金才能换吗|足金能旧换吗	亲～旧换要求以料场检测为准，一般需要999足金才可以正常按规则入系统。若过火检测发现纯度不足，我们会第一时间联系您确认：可选择退回，或按实际纯度折算融化提纯（确认融化后就无法退回原金）。
旧换/换款	≥10g规则	10克以上怎么换|10g以上怎么算|超过10克旧换|10克及以上1比1吗	亲～999足金过火后≥10g一般按1:1入系统（按实重计），只需要补工费即可换款。寄出后把快递单号发我们，签收复称后会录入系统哦～
旧换/换款	<10g折算	10克以下怎么换|不足10克怎么算|小于10g怎么折算|0.9975怎么算	亲～不足10g会按：实重×0.9975 折算入系统（例如5g→4.9875g）。这个是系统统一规则哦～
旧换/换款	过火损耗/称差	过火会少多少|损耗多少|称差正常吗|为什么少了0.01|为什么少了0.02|为什么少了0.03	亲～过火检测默认会扣0.01–0.02g（极少数会到0.03g）；另外不同称具精度也可能有约0.003–0.004g的正常误差。能接受我们再寄哦～
旧换/换款	监控问题	有监控吗|全程监控吗|能看监控吗|料场有监控吗	亲～我们这边只能提供称金重量的监控。因为旧金后续要送去料场融料，料场那边是没有监控的哦～如果您对流程有疑虑，建议慎重寄件，避免后续纠纷～
旧换/换款	珐琅/带颜色	珐琅能换吗|带颜色能换吗|彩色金能旧换吗|珐琅黄金旧换	亲～珐琅/带颜色的款式我们一般不建议旧换，因为有的商家按总重出售，容易出现净金重量对不上的情况，后续容易有纠纷。如果您一定要寄，建议先考虑好能否接受检测结果与净重差异哦～
旧换/换款	非本店镶嵌/带钻	带钻能换吗|莫桑能换吗|锆石能换吗|镶嵌能旧换吗	亲～我们建议不要寄送非本店购买的镶嵌饰品，因为拆除后净金重量可能无法准确计算，存在净重对不上的概率，容易产生纠纷。如果是本店镶嵌的，可以先发图给小黄确认～
旧换/换款	小珠子旧换口径	小珠子能旧换吗|金珠子能换吗|小金珠能换吗	亲～小珠子类一般不单独做旧换，建议可熔合后再兑换（具体以实际检测为准）。如果您这边比较介意净重差异/流程风险，建议先联系人工确认后再寄哦～
旧换/换款	纯度不足/变色	纯度不够能换吗|不纯能旧换吗|变色了怎么办|过火发现不够纯怎么办	亲～每件旧金都会过火检测。若发现纯度不足或变色情况，我们会第一时间联系您确认：可以选择退回，或按实际纯度折算后融化提纯（确认融化后就无法退回原金），纯度以料厂检测结果为准哦～
旧换/换款	注胶/有胶水	有胶水能换吗|注胶能换吗|注胶的能旧换吗	亲～注胶/有胶水的可以旧换，但损耗可能会有偏差，需要送去料场过火后才能确定结果。若过火发现纯度不足或变色，我们会联系您确认；检测合格后统一提纯，无法退回原金哦～
旧换/换款	本店买的未佩戴可1:1	刚买的不合适能换吗|不合适能换吗|你们家买的能换吗|买了没戴能旧换吗	亲～如果是本店购买且一次都未佩戴、无使用痕迹的，视实际情况可按1:1不需要过火处理。您方便发下订单/款式照片小黄帮您确认一下～
旧换/换款	古法旧换	古法怎么换|古法能旧换吗|古法旧料怎么处理	亲～古法只要是999足金也可以旧换：素金一般1:1（仅补工费），过火会扣0.01–0.02g；若污垢较多会视实际情况处理。过火后如发现纯度不足会联系您确认，合格后统一提纯，无法退回原金哦～
旧换/换款	18K旧换	18K怎么换|18k能换吗|AU750能换吗|18k可以旧换吗	亲～18K可以旧换的：用总克重×0.745，折算成足金克数入系统（例如1g 18K≈0.745g足金）。您告诉我大概多少克，我帮您算折算后的克数～
旧换/换款	22K/900旧换	900能换吗|22k能换吗|22K怎么换|AU900怎么换	亲～22K/900也可以的：融化过火后按总克重×0.900折算（过火会扣0.01–0.02g，若污垢多视情况）。过火发现纯度不足会联系您确认，合格后统一提纯，无法退回原金哦～
旧换/换款	金条旧换	金条怎么换|金条旧换|金条换款	亲～金条按实重1:1入系统，比如寄5g就按5g存；金条不需要过火哦～寄出后把快递单号发我们就行～
旧换/换款	金豆旧换	金豆怎么换|豆子怎么换|金豆旧换|豆子换款	亲～金豆不属于金条/板料，一般按旧料处理：需要过火检测，默认扣0.01–0.02g；素金兑换一般按规则入系统后换款（补工费）。
旧换/换款	板料换款	板料怎么换|板料换款|板料1比1吗|邮寄板料怎么算	亲～板料是1:1克换克，不需要过火。我们签收后会上称拍照核对重量，确认无误会录入系统，您就可以直接换商品啦～
邮寄/地址	寄料地址	给我地址|给我收件地址|寄旧料地址|邮寄地址|旧换地址	亲～寄料信息发您：地址：广东省深圳市罗湖区水贝二路水贝壹号A座16楼恒达福；收件人：林先生；电话：15302797227。温馨提示：包裹内请务必放纸条写“微信名+手机号+小程序编号”，寄出后把快递单号同步给我们哦～
邮寄/地址	寄件备注/纸条	包裹里要写什么|寄件需要备注什么|纸条写什么|怎么对单	亲～包裹里请务必放一张纸条，写明：微信名 + 手机号 + 小程序编号。这样我们签收后可以快速对单处理～
快递/物流	发什么快递	发什么快递|用什么物流|什么快递都能发吗|顺丰可以吗|京东可以吗	亲～基本什么快递都能收（顺丰/中通/圆通/韵达/京东等都可以）。因为黄金较贵重，比较建议顺丰或京东，也可以购买第三方保险保价会更划算哦～
